question,answer
"What is crop rotation and why is it used?","Crop rotation is the practice of growing different crops in the same field across seasons to preserve soil nutrients, reduce pests and diseases, and improve long-term yields."
"What nutrient do legumes add to the soil?","Legumes fix atmospheric nitrogen into the soil through a symbiotic relationship with rhizobium bacteria living in their root nodules."
"What is the ideal soil pH for most crops?","Most crops grow best in slightly acidic to neutral soil, with a pH between 6.0 and 7.0."
"What is drip irrigation?","Drip irrigation delivers water directly to the base of plants through a network of tubes and emitters, minimizing water waste and evaporation."
"What causes soil erosion?","Soil erosion is caused by wind and water removing the topsoil, often worsened by deforestation, overgrazing, and poor tillage practices."
"What is the purpose of cover crops?","Cover crops are planted to protect and enrich the soil between main crops, preventing erosion, suppressing weeds, and adding organic matter."
"What is photosynthesis in plants?","Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen, using chlorophyll in their leaves."
"What is integrated pest management?","Integrated pest management combines biological, cultural, physical, and chemical methods to control pests while minimizing harm to people and the environment."
"Why is soil organic matter important?","Soil organic matter improves soil structure, water retention, and nutrient availability, and supports beneficial soil microorganisms."
"What is the difference between determinate and indeterminate tomatoes?","Determinate tomatoes grow to a fixed size and ripen their fruit all at once, while indeterminate tomatoes keep growing and producing fruit throughout the season."
"What is fallowing in agriculture?","Fallowing is leaving a field unplanted for a season or more to allow the soil to recover its fertility and moisture."
"What are the three primary macronutrients for plants?","The three primary macronutrients are nitrogen, phosphorus, and potassium, often shown as N-P-K on fertilizer labels."
"What is hydroponics?","Hydroponics is a method of growing plants without soil, using a nutrient-rich water solution to deliver minerals directly to the roots."
"Why do farmers test their soil?","Farmers test soil to measure its pH and nutrient levels so they can apply the right fertilizers and amendments for healthy crop growth."
"What is the role of pollinators in agriculture?","Pollinators such as bees transfer pollen between flowers, enabling fruit and seed production for many crops."
"What is mulching?","Mulching is covering the soil surface with material such as straw or wood chips to retain moisture, suppress weeds, and regulate soil temperature."
"What causes blossom end rot in tomatoes?","Blossom end rot is caused by a calcium deficiency in the developing fruit, usually triggered by inconsistent watering."
"What is a perennial crop?","A perennial crop is a plant that lives for more than two years and produces harvests over multiple seasons without being replanted, such as fruit trees or asparagus."
"What is the purpose of greenhouse farming?","Greenhouse farming uses an enclosed, controlled environment to extend growing seasons and protect crops from harsh weather and pests."
"What is soil salinity and how does it affect crops?","Soil salinity is a high concentration of salts in the soil that draws water away from plant roots, reducing growth and yields."
